job_item_name,job_item_comapny,job_item_area,job_item_experience,job_item_degree,job_item_salary,job_item_description
Senior Embedded Software Engineer -觸控優先,邁新科技有限公司,新北市林口區,經歷不拘,專科,"月薪100,000~190,000元","We are looking forward to building a team of Sr. and Jr. Embedded SW Engineer to execute complete embedded software development life cycle. The goal is to create scalable and optimized system solution with our MCU/DSP/ADC IP. College graduates with related field are welcome!!! We offer 14 months guaranteed pay with Health and Labour insurance. Company stocks and many more! Come and join us! Embedded Software Engineer responsibilities include: • Designing and implementing software of embedded devices and systems • Designing, developing, coding, testing and debugging system software • Analyzing and enhancing efficiency, stability and scalability of system resources Responsibilities • Design and implement software of embedded devices and systems from requirements to production and commercial deployment • Design, develop, code, test and debug system software • Review code and design • Analyze and enhance efficiency, stability and scalability of system resources • Integrate and validate new product designs • Support software QA and optimize I/O performance • Provide post production support • Interface with hardware design and development • Assess third party and open source software Requirements • Proven working experience in software engineering • BS degree in Computer Science or Engineering • Experience in hands-on development and troubleshooting on embedded targets • Solid programming experience in C or C++ • Proven experience in embedded systems design with preemptive, multitasking real-time operating systems • Familiarity with software configuration management tools, defect tracking tools, and peer review • Excellent knowledge of OS coding techniques, IP protocols, interfaces and hardware subsystems • Adequate knowledge of reading schematics and data sheets for components • Strong documentation, writing and communication skills"
資深程式設計師(保障年薪),奇美集團_新視代科技股份有限公司,新北市中和區,6年以上,大學,"月薪100,000~190,000元",1.應用系統開發設計、維護 2.MS SQL Server資料庫規劃、設計 3.系統作業流程優化分析
Senior HQA Software Engineer,新加坡商惠爾訊科技股份有限公司台灣分公司(VeriFone Systems Pte Ltd Taiwan Branch),台北市南港區,4年以上,大學,"月薪100,000~190,000元","Why Verifone For more than 30 years VeriFone has established a remarkable record of leadership in the electronic payment technology industry. VeriFone has one of the leading electronic payment solutions brands and is one of the largest providers of electronic payment systems worldwide. VeriFone has a diverse, dynamic, and fast-paced work environment in which employees are focused on results and have opportunities to excel. We take pride in the fact that we work with the best and brightest in our industry around the globe. Our competitive fierceness is fed by our passion for excellence in our products and services, and our obsession with customer satisfaction. Across the globe, VeriFone employees are leading the payments industry through experience, innovation, and an entrepreneurial spirit. Whether it’s developing the next platform of secure payment systems or searching for new ways to bring electronic payments to new markets, the team at VeriFone is dedicated to the success of our customers, partners, and investors. It's this passion for innovation that drives each one of our employees to personal and professional success. What you'll do Position Summary: As part of the Global Quality team in the R&D organization, responsible for ensuring products design and development for the global market meet quality, performance, and system reliability specifications. Essential Duties and Responsibilities: • Design and develop system test applications in accordance with the functional requirement of the HQA test applications, typically under one of the platforms such as Android, Linux system and to simulate End-to-End system environment for test validation. • Conduct system validation tests using the system test applications developed and continue to fine-tune test applications to maximize the test coverage and approach relevant automated testing. • Design, program, simulate and test machinery and processes in order to complete exact tasks. • Develop test automation through test tools with visual function, procedures, and checklists that effectively validate the product system quality and reliability goals specified in product requirement document productive. • Develop system test plan including functional and interoperability test requirements at all levels of the system. • Develop test cases in accordance with Product and system requirements & all perceivable use cases associated with live implementations at all levels of the system. • Guide and mentor partners in the development of system test plan, test requirement, test cases & test apps development-Nice to have • Provide clear oversight and status reporting of test apps development & test plan and test case execution. What qualifications will you need to be successful? Knowledge & Experience: • BS degree in Computer Science, Software & Embedded system, Electrical/ Electronic Engineering. • Minimum 2~5 years of working experience in the design and development of test applications particularly in Android & Linux platforms. • Experience in programming or integration system testing involving Android/Linux platform products and Vision function development with EmguCV or OpenCV is preferred. Skills & Ability: • Good knowledge of C, C++, C#, Python. • Middle written/read and report generating skills. • Good team player and able to work with multiple sites. Our commitment Verifone is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. Verifone is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
運維工程師 工作地點：菲律賓,寶誠有限公司,菲律賓,1年以上,大學,"月薪100,000~190,000元",職責描述： 1.負責維護系統平台的運行，包括系統巡檢、故障排除、系統優化、資料備份等工作， 保證平台的高品質高效能運行狀態 2.負責安裝或更新系統平台的相關軟件應用程序及修補程式（patch） 3.參與專案需求分析，參與產品設計及開發測試 4.負責系統平台的技術支援 5.完成主管交代的其他工作安排 任職要求： 1、電腦資訊相關科系，一年以上工作經驗 2、熟悉Nginx、redis、MySQL、Ftp、Hadoop、ansible、docker等工具和服務的安裝、配置和維護 3、熟練掌握Windows及Linux系統的安裝、操作和維護 4、了解網路路由、交換原理及相關伺服器配置 5、具有良好溝通協調能力，具備專案管理知識 6、熱愛工作，有強烈的求知欲並具有較強的學習能力 7、具溝通能力、推動能力和較好的服務意識 *有DevOps相關實施經驗者優先 *熟悉Linux防火牆設定(iptables) *熟悉Linux命令行工具(grep、sed、awk)
D資深JAVA程式設計師,中國人壽保險股份有限公司(總公司),台北市松山區,5年以上,大學,"月薪100,000~190,000元","1.Java MVC架構, 微服務架構的應用系統開發與維護 2.與需求單位進行需求訪談、系統功能之規劃、分析及設計 3.撰寫系統規格及製作相關開發文件 4.協力廠商的系統開發進度及品質管控與二線開發支援 5.問題分析與追蹤改善"
富邦行銷/富邦保代-資深系統分析師,富邦行銷股份有限公司,台北市中正區,經歷不拘,專科,"月薪100,000~190,000元",1.專案執行。 2.基本系統分析、設計以及資料庫設計、程式撰寫、測試。 3.負責維運及問題處理。
後端工程師 NodeJs Backend Developer (JoSeal),英屬維京群島商幫你優股份有限公司台灣分公司,台北市中正區,2年以上,大學,"月薪100,000~190,000元","職務說明： JoSeal 是幫你優集團繼PaGamO後又一推出之教育創新產品,主要透過共學的理念與跨平台的裝置,協助企業完成知識的傳承教學與學習成果管理,同時也可以協助教師等人員為實體課堂產生輔助,透過雲端化的平台介面讓學生可以達到課前預習、課後練習與討論及測驗了解學習成效與講師觀察數據報表追蹤等成果。 產品網址: https://www.joseal.app/ 教育是能改變人類一輩子的事情,歡迎對教育科技有想法的你一起來加入我們。 你將會與前端夥伴、APP夥伴、QA夥伴、產品經理等,⼀同討論產品功能開發細節,徹底且全⾯地理解使⽤者的問題、你的程式碼將會如何解決使⽤者的問題、提供良好的體驗,你並非只是⼀個碼農,⽽是可以實際參與產品走向的討論,真切的影響產品的呈現。我們使⽤ Nodejs + Mongodb with GraphQL 進⾏開發,但只要你非常熟悉任何⼀款網站開發語⾔或框架,且對於學習 Nodejs 感興趣,只要有良好的⾃學能⼒,都非常歡迎來聊聊哦！ ⼯作內容： • 新功能模組開發 • 持續優化調整產品功能 • 與技術團隊共同討論技術架構 • 維持產品效能與提⾼系統穩定度 • 基礎系統維運、除錯 我們期待你: • 1 年以上後端開發工作經驗 • 熟悉 Nodejs 及任一框架( Express 或 Koa ) • 熟悉 MongoDB • 有 GCP 或其他雲端平台實務經驗 • 有 Git 或其他版本控制系統經驗 • 主動負責、細心的工作態度 • 良好溝通能力及團隊合作能力 加分項⽬： • 具有 GraphQL 的經驗 • 具有 Redis 的經驗 • 具有寫自動化測試經驗 • 具有建置自動化 CI/CD 相關經驗 • 具有 Elasticsearch 相關經驗 • 具有 Docker, Kubernetes 等 DevOps 經驗"
(院本部)網路數據分析實驗室_專案研究人員（台北）,財團法人國家實驗研究院,台北市大安區,經歷不拘,碩士,"月薪100,000~190,000元",1.資安卓越中心規劃建置計畫-網路數據分析實驗： (1)網路數據分析與資通安全相關前瞻研究 (2)新世代網路暨智慧型應用系統之規劃設計與研發 2.資安卓越中心規劃建置事宜。
前端開發工程師 Front-End Developer,智鈦星平台服務有限公司,台北市信義區,3年以上,大學,"月薪100,000~190,000元",*負責App/Web前端開發、整合等。 《工作說明》： 1. PC及移動式前端之開發工作，包括常用PC、手機瀏覽器與APP內嵌頁面等。 2. 前端架構體系之規劃、設計與後續優化。 3. 與相關職能團隊討論開發前端組件，並加以應用、創新，以利維護及優化前端頁面呈現與效能。 4. 通訊軟體外掛小程式開發。 《期望技術》： 1. 能熟練使用VUE，React前端開發框架 (若不熟React較無法上手)。 2. 精通HTML5、CSS3、JavaScript、Nodejs、React native等前端開發技術。 3. 暸解伺服器端開發語言及熟悉與原生APP交互佳。
系統軟體開發工程師,捷螺系統股份有限公司,新竹縣竹北市,經歷不拘,大學,"月薪100,000~190,000元",1. 具程式設計開發經驗. 2. 熟 C、C++、Java、Python、MySQL、 linux 佳 3.開發派車軟體，車輛繞路演算法，交通管理演算法，開發Material handling system 薪資佳.
